Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Za2rCpQhZrRXldgz1MFAk,"Theme for Scanty & Knee Socks","Panty & Stocking with Garterbelt　The Original Soundtrack","TeddyLoid",2010-12-29,254053,51,false,1rm8a4ytboch21x75yu5jotkz,2024-05-09T22:06:33Z,"vocaloid","FlyingDog",0.664,0.815,7,-4.994,0,0.345,0.0111,0.00000285,0.095,0.405,128.037,4
spotify:track:4qQTqlOWCftZYufh9uUzO9,"旅人の唄","旅人の唄","大原ゆい子",2021-01-11,264087,44,false,1rm8a4ytboch21x75yu5jotkz,2024-06-03T19:44:34Z,"anime,j-pop","TOHO animation RECORDS",0.404,0.668,10,-5.746,0,0.0303,0.0137,0.000326,0.123,0.495,136.98,3
spotify:track:6xAIVrhyFQaHwPVWfUvWvE,"spiral","spiral","LONGMAN",2023-07-10,231066,56,false,1rm8a4ytboch21x75yu5jotkz,2024-06-03T19:45:14Z,"anime,melodic hardcore","Sony Music Labels Inc.",0.604,0.826,3,-3.98,1,0.038,0.00686,0.00000275,0.228,0.461,122.015,4
spotify:track:4jAUeWwomc0Pn0O8gq5Y0u,"オン・ザ・フロントライン","オン・ザ・フロントライン","Hitorie",2024-04-15,207775,48,false,1rm8a4ytboch21x75yu5jotkz,2024-06-03T19:53:05Z,"j-rock,vocaloid,anime,j-pop","Sony Music Labels Inc.",0.581,0.939,1,-3.866,0,0.0534,0.00946,0,0.323,0.598,96.968,4
spotify:track:7ovUcF5uHTBRzUpB6ZOmvt,"アイドル","アイドル","YOASOBI",2023-04-12,213233,73,false,1rm8a4ytboch21x75yu5jotkz,2024-08-25T23:35:47Z,"j-pop,anime","YOASOBI",0.574,0.935,1,-2.783,1,0.0926,0.112,0.00000107,0.367,0.836,166.008,4
spotify:track:45LUKiex0D78VuhP3Oz6mG,"メフィスト","メフィスト","QUEEN BEE",2023-04-20,227320,60,false,1rm8a4ytboch21x75yu5jotkz,2024-08-25T23:37:21Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.531,0.731,2,-5.885,0,0.0522,0.0411,0,0.151,0.549,150.01,4
spotify:track:7gJD9BarjoFwL2BNQ0rpWT,"ファタール - Fatal","ファタール - Fatal","GEMN,Kento Nakajima,Tatsuya Kitani",2024-07-04,219200,68,false,1rm8a4ytboch21x75yu5jotkz,2025-01-14T16:22:10Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.636,0.937,5,-3.171,0,0.16,0.0283,0,0.265,0.766,156,4
spotify:track:0DCUrM5omLum9e4UXCKhEM,"Burning","Burning","Hitsujibungaku",2024-07-03,231250,59,false,1rm8a4ytboch21x75yu5jotkz,2025-01-14T16:22:12Z,"japanese indie,j-pop,anime,shoegaze,j-rock","F.C.L.S.",0.533,0.907,3,-2.281,1,0.0757,0.00166,0.0736,0.288,0.629,95.918,4
spotify:track:2qWgpqtIdsJmGL9QVEBXfF,"Red fraction","MELLSCOPE","MELL",2008-08-20,221386,7,false,1rm8a4ytboch21x75yu5jotkz,2024-09-13T21:09:46Z,"anime","NBCUniversal Entertainment",0.531,0.981,4,-6.964,0,0.108,0.000204,0.0214,0.203,0.393,142,4
spotify:track:6wOazYrDGLhMAhwU6RArlg,"Sing My Pleasure","Sing My Pleasure","ヴィヴィ(Vo.八木海莉)",2021-04-18,289274,48,false,1rm8a4ytboch21x75yu5jotkz,2024-10-19T20:42:09Z,"anime,j-pop","Aniplex Inc.",0.477,0.954,5,-2.4,0,0.0729,0.00387,0.00000239,0.386,0.455,87.434,4
